,story_id,title,content
180,48,Johnny Says Goodbye.,"Hard to say what qualifies as creepy. It could maybe be seen as heartwarming. I don’t know. My mother swears this is a true story, and frankly, I don’t see why she would lie about it. My mom had three kids. There’s me, the youngest, and my older brother – but before either of us were born, there was Jonathan. He was a sweet little blonde boy, big blue eyes, known for accidentally repeating Dad’s swears in church. Wholesome kid, great in school, active outside. When he was almost six, he was riding his bike and fell and hit his head on a rock. He got up and said he felt fine. My mom found him the next morning in his bed when she tried to wake him up to get to kindergarten, one pupil dilated and the other not. She got him air-lifted to the nearest hospital. During this time, Jonathan’s best friend Nick was sitting at the breakfast table eating cereal. Nick suddenly gets up from the table and goes to the door. When his mom asks him what’s up, Nick says that Johnny was calling for him. You see, Nick and Johnny lived on separate blocks, but they weren’t allowed to cross the street without a parent yet because they were still fairly young. But they lived close enough to call to one another to come out to talk at their respective street corners. So Nick goes out to the street corner while his mother receives a call from mine that Johnny was just declared dead in the hospital (idle brain aneurism that was triggered by the fall). Nick’s mom can hardly handle this news and is now wondering where her son went. But Nick comes back a few minutes later and says that he heard Johnny calling to him but he wasn’t at the street corner when he looked, then sits down to continue eating his cereal. When his mom asks Nick what Johnny was saying, Nick says he had come to say, “Goodbye.” My mom told me this story when I was young but it’s stuck with me. I wish I could have met him. But truthfully, I wouldn’t be here to type this story to all you random strangers if he hadn’t died; my mother only wanted two kids. I’m thankful for the chance I was given to live, and feel like he died FOR me sometimes. I’m not religious, but I do feel spiritual when I think of Johnny."
188,49,The Cat Lady.,"Weird one that happened to my sister a couple years ago. Background info: she and her (now) husband are house sitting for my brother in laws uncle. The uncle is old and starting to lose it. He rents out a basement suite and a nice lady lives downstairs. She cleans the house when she is there but he wanted my brother in law to come check on things and feed his old cat once in a while. Okay so first day they go to house sit they get in but can’t find the cat to make sure it’s okay. My sister has cats and know they like to hide when they are dying so they are all worried and are looking everywhere for this cat. In all rooms under the beds and everything. Even check with the lady downstairs, she hasn’t seen it. So my sister opens up the closet in the spare bedroom and is looking around stuff on the floor. Moves a couple of things and sees a set of feet on the ground in the closet, with clothes blocking anything above the feet. The feet have nicely painted toenails and look human, but she assumes it is a doll or something. They look in a few more places and all of the sudden the cat is in the middle of the living room just hanging out. So they lock the deadbolt and leave. Sister and her boyfriend go out for dinner and a movie and she can’t stop thinking about the feet and how real they looked. My sister had started dating her bf fairly recently and didn’t want to seem crazy so she didn’t bring it up but a few hours into the night she decided she needed to tell him. He decides that it’s probably a doll but he offers to go back and check anyway. When they arrive my sister will only stay on the patio because she is scared, which makes him realize that this must be something serious. They go to get in the door, but the deadbolt is now unlocked and the handle is locked. Now he thinks there must be someone in there. At the door there is a fireplace so once he is in there he grabs the sharp poker stick from the fireplace tools and starts to sneak towards the closet. He opens the closet and sees the same set of feet with painted toenails on the floor. He pokes it lightly with the fire stick and the toes scrunch up. He proceeds to smack the foot as hard as he can with the sharp stick and yells “Get out of there!” Out comes a lady in her mid-30s, holding the cat and a can of coke. Turns out she was friends with the basement tenant. When she became homeless the friend let her stay with her until she found out she was addicted to crack. Started leaving drugs around the house and had shady people coming into the house so she kicked her out. Somehow she got a key to upstairs and had been staying there while the uncle was gone. Police were called and she was arrested."
193,50,A Ted Bundy Encounter.,"It was near Halloween time when my friends and I were telling ghost stories. My friend said she was going to tell a story about her parents’ first date. She said she didn’t like telling the story, since it was actually true, but we prodded her on. To cut to the chase, the parents had spent a nice, if awkward first date, and around the time that they would have said “good night,” the man in the situation–my friend’s dad–suggested that they go for a midnight hike up Provo Canyon. He apparently knew the place, since he had done a fair amount of rock climbing in the area. So the two drove up the mouth of the canyon, got out of their cars and started hiking under just the light of the stars, since it was a new moon. At some point, my friend’s dad starts getting a “bad feeling,” since the pathway ahead, which would pass under some trees, would be dark, and because it was getting to be quite late. He ignores the feeling and presses on. In later retellings of the story, the my friend’s mom would say that she had felt the same feeling at what was probably the same time, though she didn’t know the trail like he did. A minute later, the feeling came back to my friend’s dad. He ignored it again, and started walking a bit of the way into the trees when his foot hit something “soft” in the middle of the path. Under the trees, it was too dark to see just what this soft thing was, and the feeling came back stronger than ever. Instead of finding out what his foot had bumped into, he and my friend’s mom both agreed to hightail it out of there… Years later, after being married for some time, they were watching an interview with the serial killer, Ted Bundy. In response to a question asking him to describe the time that he felt the closest to being caught, he explained about the night that he lured a girl into Provo Canyon, and had just killed her when he heard some people coming up the trail. He explained how he hid in the trees just in time, only to watch some guy walk right into the body, and for some reason, just turn around and walk away."
197,51,A Call From The Front Desk.,"Before my family and I moved to another state, my father went and visited the area to check on the progress of our new house which was being built. My father was there for a few days and was staying at some crappy Motel 6 in a shady area of town. His room was the last room at the end of the hallway on the top floor. In the middle of the night on the last night he was in town he is woken by the phone ringing in his room. He groggily answers. It was the front desk and they say something along the lines “Sorry to wake you, but we’ve been receiving a couple of reports about rooms being broken into and some stuff being stolen. We are calling to make sure you lock your door and are safe.” My father replies that he is fine and hangs up. He decides to go double check that he locked the door. As he sits up in bed he notices that the door to his room is ajar. Being spooked, he cautiously checks the room and finds that nothing is missing and no one else is in the room. He creeps to the door and peaks out. Sitting right outside his room on the window sill of the hallway window is his shaving kit. Creeped out of his mind, he quickly grabs it and locks the door. After he calms down a bit he calls down to the front desk and says “Hey, you just called me about the break ins around the hotel, and I just want to report that my room was broken into when I was sleeping, nothing stolen and I am fine. Figured you would like to know” The front desk replies, “You must be mistaken, we never called your room and we haven’t received any reports of breaks ins.”"
198,52,A Little Boy Sees The Light.,"My wife’s mother passed away in 2003 from cancer. After the funeral, family and friends gathered at her house for a final celebration of her life. The gathering went late into the evening. My son, 3 at the time, needed to go to bed at that point. I walked with him up the stairs to where he would sleep. The room that my mother-in-law passed away in was upstairs, and straight down the hallway as you reached the top of the landing. My son and I walked upstairs together, with me holding his hand. As we nearly reached the top of the stairs, my son stopped and wouldn’t move…at the point which he could just see down the hallway. He was staring straight down the hall. I looked at him, then down the hall to an open doorway to a completely dark bedroom. He just stared, and would not move any further. I asked him “Buddy, are you OK?” His response was…”Daddy. The light. The light scares me.” I looked again down the hallway where he was staring into darkness. “Buddy, you see a light?” “Yes daddy. It scares me.” I promptly picked him up and went back downstairs. To this day, the hairs still stand on the back of my neck when I think of it."
201,53,Tanya.,"When I was a child we would frequently get calls for a woman named Tanya. Didn’t seem like a big deal, she had the same last name as us, although it’s quite a common one around here. When we moved across the city and phone books stopped being the go-to for finding somebody’s number, the calls for Tanya gradually stopped. Those days seemed to have ended and we carried on, forgetting about the mysterious Tanya. It was about 4 years ago that she popped up in our lives again. I was driving home from work one afternoon and was greeted by a pretty grisly car wreck at the turn to my house – two cars had collided and one had wrapped itself around the signage pole that had house numbers and directions on it, one of which was my house number. Several days later we get a call from the police. They asked if Tanya was at this residence. Her car was found wrapped around a pole – down the street from my house – and she was nowhere to be found at the accident site. Haven’t heard anything about her since."
207,54,Demons On The Hunt.,"When I was younger my family was extremely poor and lived in a very old mobile home on some land my grandpa owned. This piece of land was in a very small town out in the middle of nowhere Texas and was covered in woods. The town itself was your typical small country town where football was king and there was nothing to do but get drunk or high on the weekend. It was also the type of town, along with it being early 90s, where one didn’t typically have to worry too much about locking their doors or setting an alarm. Now, our trailer was a two bedroom and my parents, always putting us kids ahead of themselves, slept in the living room on a fold out couch. My room was directly connected to it and my sisters room was down a hallway past the kitchen and bathroom at the other end of the trailer. One night, after everyone had gone to bed, my dad is woken up by a feeling that there is someone in the room. He looks around a bit and sees a large male figure sitting in the easy chair just feet from the bed. My dad quickly flipped on the light switch next to his bed and saw it was a neighbor from down the road named Carter. Carter was known to be a frequent drug user and was often in trouble with the law because of this. My dad asked him what the fuck he was doing here and told him to get out and he responded. “I can’t get out. The demons are chasing me and your house is the only safe one.” My dad, who I should is fairly large and terrifying person, responded that if he didn’t get out and get out quickly that the house would be a lot less safe for him. “If I leave they’ll get me! They’ve been chasing me all night. If they catch me I’m dead.” My dad’s response was that there was no demons but that if he didn’t get the fuck out of his house that he’d be dead. From what I’ve been told, since I was asleep for this part, my mom also hurled a few threats and, while she may not be big, she was equally as terrifying. I believe it was her anger that finally scared him off. My dad got up and locked the door and watched through the blinds as Carter decided, since he couldn’t outrun the demons he’d steal our old beater Suburban that my dad always left the keys in. He drove around for about an hour. We called the police and it took them about that long to get out to us since the closest police station was about 20 or 30 minutes away. He finally brought it back and was arrested and taken to jail. He was deemed crazy and ended up locked in a mental institution. The scarier part is that for years after this we’d get phone calls where all we’d here is music that would have lyrics like “I’m going to fucking kill you!” These calls lasted for years and followed us from house to house even though we always had different numbers and would even be in different states. We always thought it was him sending us a message. The calls stopped when I was about 12. I later found out that it was around that time that Carter thought the best thing he could do for himself was soak himself in gasoline and set himself on fire."
214,55,An Evil Little Shit.,"My dad used to work in a juvenile detention center in the Miami area in the early 70s. He said there was one inmate that reminded him a lot of a young Hannibal Lecter. He wasn’t strong but he was smart and very persuasive. One day he started a riot in his block of cells, just by talking the other inmates into it. My dad and another guard were sent in to check it out an try to calm things down. Everybody in the block was going crazy, banging on the bars, howling and yelling at each other. Everybody except young Hannibal Lecter. He was standing still in the middle of his cell with his arms folded, smiling and muttering the same phrase over and over, quietly. My dad tried to focus on what he was saying, and after a couple seconds he understood. The inmate was reciting my dad’s home phone number. EDIT: I don’t know how he got it. Maybe he bribed another guard into getting it for him, or he saw it written on some form on his way between rooms or something. The guy never called my dad, in fact he never really got any strange phone calls ever. But the level of determination this inmate must have had, all just to freak my dad out, was simply impressive."
215,56,The Object Of A Ghost’s Affections.,"This happened about two years ago to me, but it was pretty unsettling. I’ll start by saying I used to have a shop in an over 100 year old building that was split up into three different storefronts. I had one shop, my best friend had another, and then the third was rented to another girl. One day, I’m at the shop when the phone rings. A man is on the other line asking me for something or other and is being really spacey. I am trying to talk to him, but there are long pauses before his answers and he is just being a little odd. Finally, I ask him something and there is a long pause on the other end, long enough to make me ask, “Hello?” because I think he has hung up on me. Instead he replies with, “Oh, I’m sorry. I’m just having a hard time focusing on our conversation because there is a spirit standing next to you that is yelling into the phone, trying to get my attention.” At this point, I’m intrigued and decide to play along, so I say, “Oh really, what is he saying?” The “psychic” goes on to make a few broad comments about me and the space I’m in (all of which he could have easily found if he had looked on our website, so I’m not impressed), and says the man has been in the building since the early 1900s and is “infatuated” with me, has been following me for years, and frequently tags along with me to my house, my friends’ houses, and even places like the grocery store. Okay, that’s interesting, but then it gets more-so. He tells me the man is very jealous of the guy that I am dating, and doesn’t like him because we are so close. He then goes on to say that the spirit hurt the guy I am seeing when he was doing renovations on the building (which was 100% accurate, I put that story below) and that he didn’t like that he was in his personal space changing it. So, that was weird, but his next comment really bothered me. The psychic says, “And he is very glad you broke up with that army dude. He really hated him.” Now, this was weird to me because I had dated that guy about three years prior before and had been restationed right after we broke up and had never set foot in the building, nor had I seen him since we broke up. At the time of the phone call, I had only had my shop in the building for about six months, so I couldn’t figure out how this “spirit” would know about him. The guy told me some other stuff, most of which was pretty basic, and then I finally got him off the phone because he started getting weird, and I just wasn’t interested anymore. The whole conversation lasted about fifteen minutes, and I was thoroughly creeped by his couple of comments and couldn’t figure out how he knew so specifically the last two people I had dated (I should add that I don’t have any personal social media that someone can search for me for, so there wouldn’t have been any couples pictures up of me with either person I dated). Then, it dawned on me. I had worked for about six months for my friend at her shop in the same building for some extra cash after I moved back to the city, which was about four years prior and in the time that I had dated/broken up with the army guy, which would also explain why the psychic said the spirit had been following me for years. I no longer have the shop in that building, but still go in there every now and then to see my friend. We both agree that building has some bad vibes, especially at night, and there’s a couple more weird things that happened to me while I had the shop there."
227,57,An Impossible Voicemail.,"I’ll try to get through this without breaking down. It’s still kind of chilling to think about. Around the time I was 19 I was deployed to Iraq. My unit worked with bombs, and honestly, I didn’t know I would make it home intact. About halfway through my tour the red cross notified my unit that my father was terminally ill. Within a week I was on a plane back to the states. Now my dad being ill was something I had grown used to. He was strong though, and I never expected to actually lose him. I lost my mother when I was 7, and my father’s lungs had collapsed shortly before then. He was on oxygen and needed a wheelchair to go anywhere. Medication by the handfuls were needed every few hours. He gained weight from limited movement, developed diabetes, and had already beaten cancer once. I never expected to lose him and he wasn’t the type to ever give up. I arrive home, head to the hospital, and he assures me he’s fine and they’re overreacting. I visit him every day I’m there, but he tells me he’ll be fine by the time I get home “for good”. I reluctantly go back overseas. I call his hospital whenever I have a few minutes of free time and we’re near a call center. My deployment finishes, and he kept his promise. He comes home from the hospital, because he says he doesn’t want to die there. He gets worse, and goes back. The family all visits, but we know he isn’t improving. One day I’m at home and the phone rings. It’s an unknown number, so I don’t answer. It goes to the answering machine, and a very raspy voice mumbles “Call the hospital.” It’s my dad. I grab the phone, but he already hung up. So I call. They tell me he’s been intubated for the past couple hours and he just started going into cardiac arrest. He’s non responsive, and we need to come say our goodbyes. I argue that he just called me, and she says that’s not possible. They’ve been working on him for some time now. I hung up and told my family the news. My sister and I stared at the answering machine. We played the tape again, and again. That was the last time I heard my father’s voice. I’m a skeptic. I don’t believe in the paranormal or ghosts, and I cannot come up with any logical explanation. I still get watery eyed thinking about it."
236,58,The Christmas Party Guest.,"A few years ago I went to a Christmas party. That night my housemates went home earlier while I decided to stay and get in the Christmas spirit with a few other friends. I ended up getting pretty hammered and got home around 3am. Instead of going straight to bed I got another beer inside then went out the back porch to have a smoke and look at the stars. I was outside a couple of minutes when I see the light go on in the kitchen, my housemate comes out and look at me out the back, I wave and generally look like a drunk idiot. I thought he was going to come out and get a debrief on the rest of the evening, as there were some good laughs we had not relevant to this story. Anyway, he just gets a glass of water and goes to bed, I finish my smoke and beer and so do I. The next morning we’re re-hashing the previous night when he mentions getting up and seeing me having a smoke out the back “who came back from the party with you last night?” I give him a sideways look and reply “no-one dude, I was out there alone”. He insists, “nah man there was someone out there with you, behind you on the porch, when you were looking inside waving. I didn’t come out cause I thought it was some random friend from the Christmas party I didn’t know, couldn’t be bothered making introductions.” To this day he stands by this version of events, whoever it was must have been standing close behind me the whole time, I saw no-one and heard nothing. Gives me the willies every time I think about it."
237,59,A Sacred Moment Becomes Terrifying.,"I used to work at Philips, up near Sleepy Hollow in New York. At my lunch breaks, I liked to wander through the forest on the work property. One beautiful October day, I was admiring the autumn leaves when I saw a buck standing in front of me. There’s a word, numinous, for feeling in the presence of something spiritual, something unworldly. That’s how I felt. I quietly and carefully stepped closer to get a better view. I was able to approach quite close: almost close enough to touch him. At that moment, though, the deer turned, and I felt all the hair on my arms rise. The deer’s eyes were red and dripping with blood. It must have had some disease that had blinded it and its blindness allowed me to get so close. In the moment, though, it was terrifying and uncanny."
238,60,Poomie And Punkie.,"When I was three or four we lived in a 1950s ranch house my parents bought at a sheriff sale. It was kind of run down, but a bargain because it was a only few blocks from my grandmother’s home, on the same block as my sister’s school, and my dad could be to work in 5 minutes. Where the side door came into the house from the carport, there was a utility closet. It housed the hot water heater, a furnace, and a trap door down to the crawlspace below the house. The utility closet was in a short L-shaped hallway between the kitchen and the den which we used as a family room. I remember the crawlspace always had a “dirty water” smell to it. The floor of the crawlspace wasn’t poured concrete, but was composed of loose gravel. My sister would be at kindergarten all day, so it was just me and my mom until it was time to walk to the school to get her. I would play alone in the den while my mom was decorating cakes (her side job) in the kitchen. My mom would hear me carrying on long conversations in the den with my toys. One of my favorite things was to make a “cave” by lifting the leg rest of the recliner and playing with my toys underneath. It used to annoy my mother because I never put it back down. One day she asked me why I always did that and I told her, “Because the light from the big window hurts their eyes.” “The light hurts your toys eyes?” “No. The two little black boys who come out to play with me.” That freaked her out, so she talked to my dad about it and they asked me more about it. I told them I had two friends named “Poomie” and “Punkie”. They were two little black boys that lived under the heater in the utility closet. Poomie always wanted to play, but he had to drag Punkie along with him because he never wanted to come, but they weren’t allowed to ever be apart. They were both terrified of my dad, and they would disappear back into the closet when they would hear him coming. At night, since my dad was home, they were too afraid to come out. So they would fall down into the crawlspace and crawl until they were under my bedroom. Sometimes they would whisper jokes to me through the floorboards, but mostly I would just hear them moving around in the gravel. It ended when my mom found me sitting in the utility closet with the door shut. I told her that Poomie and Punkie had to leave because a “Raggedy Man who walked along the train tracks at night” almost found them. They saw him in our backyard trying to peek through the screen door. So they crawled into the furnace and turned to cinders and flew out through the chimney."
249,61,Foul Play At An Upscale Hotel.,"One of my brothers worked security in one of New York City’s most upscale hotels. The security desk received a frantic call during one of his night shifts. A guy was calling, all freaked out that his wife was in the bath and was not breathing. My brother and another security guard rushed upstairs to the room. Sure enough, they found a woman in the tub, and she was unresponsive. My brother and the other guard got her out of the tub and attempted CPR. In the interim, during resuscitation attempts, the NYPD arrived. They told my brother to stop CPR because the lady was obviously dead and in their opinion, had been for a couple of hours. The husband was questioned extensively. He told law enforcement that he and his wife had a fight earlier in the evening. He went out on his own and when he came back, his wife was in the bath. He says he went to bed at that point but later became concerned when his wife didn’t come to bed. Privately, among all those present, the general consensus was that the husband had something to do with it but it could not be proven. A couple of weeks later, the room was again made available to guests, and of course the incident was not mentioned. A woman who frequently stayed at the hotel, made a reservation for a week and was assigned to that room. She was the first person to stay in the room since the incident. She came to the front desk first thing in the morning, very upset, and with all of her luggage in tow. She said that she was canceling the rest of her reservation and that she would NEVER be staying in the hotel again. She said that she did not sleep the entire night and that the room was haunted. No one at the hotel had mentioned to her what had previously transpired in the room. While my brother worked there, every guest who stayed in the room, called about strange goings on and many asked to be switched to another room. People reported they heard the sound of water…like spilling over."
253,62,Taking Care Of The Ranch.,"When I was young, I went to see my grandpa who happened to be caretaking for a multi-millionaire’s ranch while the prior caretaker was having rotator cuff surgery. One day he takes me into the prior caretaker’s house and a few others and has me flip the breakers off (All of them.) I didn’t think anything of it at the time, I figured it was maintenance if some type. That night at about 11:30 I was sitting on the couch watching the news and he calls me out onto the porch. He points at the caretaker’s house (where we turned the breakers off, btw) but there are three lights on. I grab binoculars and look through the windows. No people, no movement, nothing. He looks over at me and says “That’s the third time this week. The first time I went over with my .357 expecting someone to have broken in. But when I got to the house, the door was locked just like I’d left it. I went inside and nothing was out of order except a barstool was pulled out.” Sure enough, we went over and nothing was out of order except the barstool. So I go downstairs to check the breaker box and the second I open the breaker box, the lights go off upstairs. I quickly wised up and got the fuck outta there."
259,63,Curt Says Hello.,"Spring break of 2010. My buddies and I decided to camp out on an island at a local lake. One night as we are cooking food and drinking beer, a canoe floats by with one guy in it. He asks how we’re doing and we invite him to our island for grilled meat and beers. Being in South Arkansas, we naturally assume that everyone is friendly and wants to hang out. His name was Curt and he was super friendly but really seemed to be sad. We asked him what was up and he replied “Oh nothing really, it’s just that my friends are probably worried about me.” He looked at me and winked. “they’ll find out soon enough.” That still haunts to this day. Everyone liked Curt and, noticing that it was getting dark and he had been drinking, we offered to let him stay with us that night. He declined saying that he had to get to where he was going and he seemed very adamant about that. I asked where he was headed thinking maybe we could give him a ride on a jet ski or something. Curt ignored the question and said “you boys don’t know how lucky you are.” He hopped in his canoe and left. We didn’t think much about it.The next morning we woke up early to do some fishing. As we’re fishing, a police boat pulls up. The officer asks if we’re part of the search party that found the body. We obviously have no clue what he is talking about so he tells us a story about a young man in a canoe that disappeared last week. Apparently divers found his body at the bottom of the lake two days before. The young mans name was Curt Clark. This was so freaky for us that we all packed up and left camp that day. Here’s a link to the story."
262,64,A Shadow Visits After Hours.,"I worked in a nursing home as an aide in a hospice unit. One night I had three patients trying to die and my job was to ensure that they were comfortable. The girls that worked the floor with me at night were awesome. We would always try to make each other laugh and get through the night as best as we could. I was known for scaring girls. Sometimes I’d hide in the closet of a room where someone had recently died (their body and belongings long gone in the empty room) and I’d press the call light and wait. The girls would come in and hastily shut it off but I’d always jump out and scare the shit out of them. One night I was in the nurses station filling out a report since I had to give a pt Kent some narcotics when an aide rushed in. She swore that she thought she saw my shadow on the wall as if I were hiding trying to scare her but then she heard me laugh in the nurse’s station. I decided to check it out since there wasn’t suppose to be anyone on our floor. As I walked over to the wall I stood where the light would have created my shadow and there was nothing. I laughed it off until the CNA started shrieking and I turned around and a shadow seemingly rose up the wall from the ground out of nothing. I just stared at it and said, “oh for heavens sake is that the best you’ve got?” And walked back to the nursing station. A while later I had to do rounds. As I walked towards a patients room I heard three knocks on the door that lead outside to the patio by their room and I saw an older gentleman dressed in all black. I couldn’t let him in because I didn’t have the access code so I told him to hold on a moment and i would get the nurse to let him in. When she and I returned to the door he was gone. She went outside and we couldn’t find him, so I continued to the patients room to check on him. Blood everywhere and the patient is on the floor bleeding. He had tried to get up it appears and flopped around a bit in his blood trying to get up. The nurse lifted him back into the bed and we cleaned him up. There was nothing else we could do as he was DNR besides make sure he was comfortable. I went to my next patients room and bam…dead. He had stopped breathing. I rushed to get the nurse and pulled his file. DNR also. We call the morgue and his family while I clean his body with an aide. I go to check on the patient that fell (vitals every 15 minutes for non witnessed fall) and he’s dead. I’m get the nurse, she’s frustrated because this takes two aides off her floor to care for the deceased and lots of paperwork for her. As I’m walking down the hall for linens I see the ol man I originally saw outside walking past the nurses station and he whispered, “one more and then I’m done for the night, just one more” I jumped up because his whisper was so eerie and I run to the direction he was going. A patients room door slammed shut and when I ran in she looked directly at me and took her last breath and died. Her eyes still staring directly at me. For some reason I remember her window being open and how odd it was. I ran to the window and didn’t see anything and slammed it shut, checked the woman for a pulse and found nothing. The nurse had followed me and saw exactly what I saw and heard the voice whisper as I did. She was coming around he corner and swore she saw the man and then me jump up and run after him and, like me, saw the patients room door slam shit before I could get in there. When I had turned around I saw the nurse standing in the door way and she could only say, “I fucking saw it too oh my god I fucking saw it too”."
267,65,Nice Guy Poltergeist.,"I was stuck in a bathroom in a creepy house my family was staying at. I was home alone. You had to force the door into the jam to get it to close and latch, only to find out that the knob didn’t work the latch. I heard the side door slam shut downstairs. I thought my dad was home. I called to him. “Dad. Dad! I’m stuck in the bathroom!” I heard him walking on the hardwood. Through The kitchen. Down the hall. Stopped at the bottom of the stairs. “Dad! I’m locked in!” I yelled. I immediately heard him run up the stairs and stop at the top. Once more I exclaimed “I’m locked in the bathroom!” 4 more steps to the other side of the door. “Dad?!” BOOOOOOOOOOM The door swung open and slammed into the wall. I stepped into the hall. I looked around. Nobody was there. Nobody at all. I politely said “Thank you!” and went straight to bed."
278,66,The Boy Who Lived.,When I was 2 years old my uncle committed a double murder and suicide. He was a meth head and had been taking money from my grandmother and finally one day she told him no more. That just happened to be the day I was at their house. He went to his room and brought out a shotgun. He shot my grandfather in his face. My grandmother ran and grabbed me. He shot her in the back. She dropped me and rolled over. He pulled out a big knife and hit her in the neck with it. He the turned his attention to me. I remember this vividly. I was crying and he picked me up. Rocked me for a minute and sat me in my swing. He thing pointed the shotgun right at my face. Then all of the sudden he just stopped. Like something was fighting with him. Like physically prevented him from blowing me into a million parts. Next thing I know the gun is in his mouth and bang. That is all I remember. My parents never told me a single thing about it and up until a year ago they didn’t know I knew about it. When I told my dad he starts crying and tells me how I was just swinging in my swinger like someone was pushing me. I had forgotten about it until I was like 13 and all the sudden I remembered. It fucked with my head for a while.
279,67,My Brother’s Friend Friya.,"I have a younger brother who had an imaginary friend when he was younger. He was also an avid sleep walker. When he was around three or four, he started talking to someone he called Friya (Fry-uh). He described Friya as a dark skinned man with little clothes who loved to hunt in the wilderness. Then one day he told me that Friya used to live nearby the house a long time ago. And then some white people came and burned him alive and killed his village. Not exactly something you expect to hear from a four year old. I remember I would be in my room and hear him talking like he was having a conversation and when I would try to check on him, he would immediately become silent and turn his head as soon as I peeked around the corner. Very unsettling. Well my other brother, the middle child, was visiting his dad for the summer but the day before he got back, my youngest brother told my mother and I that “Friya does not like when (brother) is mean to me. He’s going to scare him.” The night he got home, my mom and I were downstairs and heard a scream that I can still hear to this day. We ran upstairs and found the middle brother swearing that someone was shaking his bed violently. It was a bunk bed. My youngest brother was sound asleep. A month later, my youngest brother took a bad fall and cracked his skull. He was fine, but never talked to Friya again after that. He would also sleep walk constantly. And show up right next to my bed and stare at me until I woke up and promptly shit myself. One night I heard my front door open and close. Since it was 4am, I went to check it out. I opened the door and found my brother at the far end of the yard, in the snow, only in his underwear, staring right at me. Then he slowly waved. Those shivers weren’t from the cold."
282,68,Visitors At Lover’s Lane.,"Back in high school (probably junior year, I think), I was in a long distance relationship with a girl from several states away. She would visit a few times a year and when she did, we obviously spent as much time together as possible. One night, we were kind of making up from a fight we’d just had and we drove up in my dad’s truck to basically the Lover’s Lane of the area – a dirt cul-de-sac at the end of a road on the mountainside. From this little lot, you could look out over the town at night and it was pretty cool, which is why it was kind of a popular place to go. So we’re parked in the truck just off the road, looking out over the town and cuddling while we talk out our issue. Like many trucks, it had a small hatch window on the back of the cab facing the bed of truck. We opened this to let some fresh air in. At some point during our talk, another vehicle pulled up along the cul-de-sac. Since I didn’t make it clear before, the cul-de-sac didn’t really have a curb all the way around it because it was partially dirt (I think there was construction in the area or something), so you could pull off the actual road and out onto the flat area overlooking the town. We had pulled off the road like that, but the other vehicle stayed in the area with the curb, so we’d have to go right past them to get back onto the road. Anyway, this vehicle pulls up and a bunch of guys a little older than us get out and start messing around. Seemed like they probably were doing some drinking but maybe not. The thing is, they had left their headlights on and their car was facing into the back of the truck, so their lights were shining right on us and it was annoying. But we ignore them for a while, figuring they’re probably just being idiots and will eventually leave. Then, we get curious what they’re talking about (because we can hear them talking loudly through the open back window), and we start listening in and picking up pieces of their conversation. It gradually became clear that we were the center of their attention and they seemed to be working themselves up to doing “something.” I don’t remember exactly what they were saying, except for something that one of them said that sticks very clearly in my memory: “I swear to god, I’ll do it.” At this point, I am becoming nervous, and put the keys in the ignition, telling my girlfriend that I wasn’t interested in finding out what exactly was going on. I still have no idea what would have happened if we hadn’t gotten out of there, and that, to me, is the scary part. I’d like to think that they were just trying to scare us and wouldn’t have actually done anything, but at the same time, I’ve heard stories of people at places like that getting raped/killed/whatever else. It’s entirely possible that we both came very close to something horrible that night, and the experience scares me to this day."
288,69,Frank From Sweden.,"When I was a kid (4-6 range) my mother had this boyfriend…. lets call him Frank. For the most part he was an okay guy but he had some serious mental issues which we found out later. At some point they decided to move to Albuquerque (we were in California then) and off we went. Things were okay for a bit but Frany drank more and more and was growing more and more paranoid each day. Eventually my mother found that he had bought plane tickets for himself and a child (me) out of the country. She freaked out and they got into a bit of a tiff that ended up with the cops arresting him because of attempted kidnapping. She was told he would be in holding for about 4 days, long enough to pack up and leave, but that night the cops decided to let him out, why? because he knew how to vomit blood and they freaked out (the cops were not the brightest) and instead of taking him to the hospital they dropped him off at a fucking Walgreens to “get his medication” since CLEARLY this guy was no threat. To make things worse, they didn’t even bother calling her to warn her that, oh hey, the fuck who was planning on kidnapping your child is our roaming the streets. A few hours later I am asleep in a sleeping bag next to her when I wake up to find his shadowy figure standing over me. He broke in. I scream, she jumps up. She throws (LITERALLY throws) him from the room, slams the door and screams for me to lock it, I do…. I think anyway (never really came up). They start screaming at each other, the neighbors have already called the cops at this point because, hey there was some creep sneaking around this place. At some point during their fighting she threw him through the sliding glass door, about the same time two officers were sneaking around the house to see what the fuck was going on. She was arrested and he kept trying to tell them to let me stay with him. I was still locked in the bedroom. Eventually the cops acquiesce and she is (while still handcuffed) allowed to convince me to unlock the door. While he is screaming that I would be fine they find all the evidence of him planning on killing her and taking me to Sweden (where he was born and had dual nationality) so he could somehow keep me away from my grandparents and father. I spent a few days in a CPS house while they sorted her information (it was a weekend which added time) and as soon as she was out we were gone. He kept calling my grandparents house to tell her he was sorry and he would be there soon to make things better…"
